Shadow Yosuke	Sombra de Yosuke
Shadow Yukiko	Sombra de Yukiko
Masked prince	Príncipe Mascarado
Teddie	Kuma
Yosuke	Yosuke
Rise	Rise
Chie	Chie
Yukiko	Yukiko
Kanji	Kanji
Naoto	Naoto
Dojima	Dojima
Shadow Chie	Sombra da Chie
Shadow Teddie	Sombra do Kuma
Shadow Mitsuo	Sombra do Mitsuo
Shadow Naoto	Sombra da Naoto
Kunino-sagiri	Kunino-sagiri
Adachi	Adachi
Ameno-sagiri	Ameno-sagiri
Izanami	Izanami
Igor	Igor
Margaret	Margaret
???	???
Izanami-no-Okami	Izanami-no-Okami
Kusumi-no-Okami	Kusumi-no-Okami
Marie	Marie
Man in a lab coat	Homem de jaleco
Mr. Edogawa	Sr. Edogawa
Bizarre-looking man	Homem bizarro
Man's voice	Voz masculina
Middle-aged man	Homem de meia-idade
Ryotaro Dojima	Ryotaro Dojima
Nanako Dojima	Nanako Dojima
Nanako	Nanako
Unfriendly-looking girl	Garota pouco amigável
Attendant	Atendente
Weather announcer	Mulher do Tempo
Announcer	Âncora
Commercial	Comercial
Biking student	Aluno de bicicleta
Pained student	Aluno machucado
Sitting student	Aluno sentado
Student's friend	Amigo do aluno
Female student	Aluna
Short-haired girl	Garota de cabelo curto
Black-haired girl	Garota de cabelo preto
Mr. Morooka	Sr. Morooka
Male student	Aluno
Whiny student	Aluna reclamona
Brown-haired girl	Garota de cabelo castanho
School intercom	Comunicadora do colégio
Girl's friend	Amiga da garota
Excited student	Aluno animado
Rumor-loving student	Amante de rumores
Knowledgeable student	Aluno culto
Chie Satonaka	Chie Satonaka
Yukiko Amagi	Yukiko Amagi
Bleak-looking student	Aluno molenga
Strange student	Aluno estranho
Onlooking student	Aluno espectador
Spectacled student	Aluno de óculos
Cycling student	Aluno ciclista
Shopping housewife	Dona de casa
Spectator housewife	Detetive jovem
Spectating housewife	Locutor
Young detective	Aluno rolando
Rolling student	Aluno patético
Yosuke Hanamura	Yosuke Hanamura
Saki Konishi	Saki Konishi
Saki	Saki
Reporter	Repórter
Commentator	Comentarista
Short girl	Garota baixinha
Sitting girl	Garota sentada
Mysterious bear	花村 陽介
Store announcement	Urso misterioso
Red umbrella girl	Anúncio da loja
White umbrella girl	Grta. G-chuva Ver.
Rumor-loving girl	Grta. G-chuva Branco
Long-haired girl	Grta. de cabelo comprido
Ms. Sofue	Sra. Sofue
Principal	Diretor
Unknown voice	Voz desconhecida
Middle-aged voice	Voz de meia idade
Saki's voice	Voz da Saki
Yosuke?	Yosuke?
Other Yosuke	Outro Yosuke
Narrator	Narrador
Patrolman	Policial
Plainclothesman	Homem comum
Uniformed officer	Policial à paisana
Voice in your head	Voz na sua cabeça
Yukiko's voice	Voz da Yukiko
Chie-like voice	Voz parecida com a da Chie
Other Chie	Outra Chie
Voice	Voz
Young delinquent	Aluno inteligente
Shop owner	Dona da loja
Slender young man	Jovem magro
Deliveryman	Entregador
Kanji Tatsumi	Kanji Tatsumi
Boy on screen	Garoto na tela
Manly voice	Voz viril
Handsome voice	Voz bonita
Shadow Kanji	Sombra de Kanji
TV-loving student	Aluno que ama TV
Girl's voice	Voz feminina
Hanako?	Hanako?
Hanako	Hanako
Familiar voice	Voz familiar
Agency spokesman	Porta-voz da agência
Magazine reporter	Redator de revista
Commercial voice	Voz do comercial
Young man's voice	Voz de um rapaz
Older man's voice	Voz de um velho
Old lady	Idosa
Kerchiefed girl	Garota de lenço
Rise Kujikawa	Rise Kujikawa
Suspicious man	Homem Suspeito
Rise's grandmother	Avó da Rise
Girl on screen	Garota na tela
Shadow Rise	Sombra da Rise
Teddie's voice	Voz do Kuma
Other Teddie	Outro Kuma
Teddie?	Kuma?
Hat-wearing boy	Rapaz de chapéu
Naoto Shirogane	Naoto Shirogane
Ms. Kashiwagi	Ms. Kashiwagi
Brown-haired student	Aluno moreno
Familiar-sounding voice	Garoto na tela
Mitsuo	Mitsuo
Sample tray lady	voz do Kuma
Announcement	Moça das amostras
Conniving girl	Apresentador
PA System	Anúncio
Gekkoukan Principal	Diretor do Gekkoukan
Sharp-looking student	Aluna Inteligente
Chihiro Fushimi	Chihiro Fushimi
Doubtful student	Aluno duvidoso
Dumbfounded student	Aluno perplexo
Mysterious voice	Voz misteriosa
Young man	Homem jovem
Other Naoto	Outra Naoto
Everyone	Todos
Everyone besides Rise	Todos exceto Rise
Crowd	Plateia
The letter	A carta
Male class rep	Representante de classe
Female class rep	Representante de classe
Awestruck student	Aluno impressionado
Optimistic student	Aluno otimista
Disinterested student	Aluna desinteressada
